הגרלה,תאריך,1,2,3,4,5,6,המספר החזק/נוסף,מספר_זוכים_לוטו,מספר_זוכים_דאבל_לוטו,
3281,12/09/2020,02,05,12,17,23,32,4,0,0,
3280,08/09/2020,05,06,13,16,20,28,3,0,0,
3279,05/09/2020,06,19,23,28,33,34,3,0,0,
3278,03/09/2020,04,06,24,26,35,36,1,0,0,
3277,01/09/2020,04,05,08,13,17,28,5,0,0,
3276,29/08/2020,03,06,14,22,32,37,1,0,0,
3275,25/08/2020,02,12,19,20,21,36,5,0,0,
3274,22/08/2020,11,12,29,31,34,35,7,0,0,
3273,20/08/2020,02,06,07,19,24,28,1,0,1,
3272,18/08/2020,06,20,21,24,30,31,3,0,0,
3271,15/08/2020,01,12,14,17,24,28,1,0,0,
3270,11/08/2020,15,18,21,24,28,34,2,0,0,
3269,08/08/2020,05,09,14,27,29,34,2,0,0,
3268,06/08/2020,10,20,24,26,28,35,6,0,0,
3267,04/08/2020,04,17,20,21,33,34,6,0,1,
3266,01/08/2020,04,06,07,15,16,34,6,0,0,
3265,28/07/2020,01,03,11,13,25,34,3,1,0,
3264,25/07/2020,12,13,17,21,23,25,6,0,0,
3263,21/07/2020,03,06,10,12,30,36,5,0,0,
3262,18/07/2020,04,09,12,30,31,33,5,0,0,
3261,14/07/2020,06,20,22,30,32,33,5,0,0,
3260,11/07/2020,10,12,18,28,34,37,4,0,0,
3259,07/07/2020,01,07,09,21,31,36,4,0,0,
3258,04/07/2020,01,04,08,27,28,33,7,0,0,
3257,02/07/2020,10,12,13,24,25,31,7,0,0,
3256,30/06/2020,22,24,26,27,28,29,2,0,0,
3255,27/06/2020,01,06,13,21,25,28,1,0,0,
3254,23/06/2020,01,03,18,19,25,30,1,0,0,
3253,20/06/2020,03,05,10,11,18,23,2,0,1,
3252,18/06/2020,05,06,08,18,20,30,5,0,0,
3251,16/06/2020,18,19,28,30,32,35,3,0,0,
3250,13/06/2020,05,12,15,22,24,31,5,0,0,
3249,09/06/2020,13,14,21,24,27,30,3,0,0,
3248,06/06/2020,07,08,18,23,25,37,6,0,0,
3247,04/06/2020,05,15,26,28,32,37,3,0,0,
3246,02/06/2020,02,13,22,23,25,30,6,1,0,
3245,30/05/2020,01,13,25,27,33,37,5,0,0,
3244,26/05/2020,09,16,22,26,30,36,6,0,0,
3243,23/05/2020,05,08,10,12,14,22,4,1,1,
3242,19/05/2020,20,21,23,26,29,33,5,0,0,
3241,16/05/2020,10,11,14,19,24,35,6,0,0,
3240,12/05/2020,02,07,12,20,21,29,3,0,0,
3239,09/05/2020,08,09,13,24,26,34,1,0,0,
3238,07/05/2020,05,07,10,13,20,29,3,0,0,
3237,05/05/2020,01,02,06,08,20,37,1,0,0,
3236,02/05/2020,01,13,16,32,33,37,2,0,1,
3235,25/04/2020,15,16,18,20,28,37,4,0,0,
3234,17/03/2020,03,07,09,23,25,33,5,0,1,
3233,14/03/2020,11,13,17,18,32,35,7,1,0,
3232,10/03/2020,11,19,23,27,30,36,1,0,1,
3231,07/03/2020,14,19,21,22,23,32,5,0,0,
3230,05/03/2020,04,10,15,18,26,32,6,0,0,
3229,03/03/2020,02,04,20,23,25,35,5,0,0,
3228,29/02/2020,07,21,25,27,30,31,6,0,0,
3227,25/02/2020,06,16,18,28,33,37,2,0,0,
3226,22/02/2020,01,15,22,23,29,33,3,0,0,
3225,18/02/2020,07,08,15,20,27,29,4,0,0,
3224,15/02/2020,04,08,10,14,21,35,2,1,0,
3223,11/02/2020,05,06,12,16,25,33,1,0,0,
3222,08/02/2020,01,19,20,32,34,35,4,0,0,
3221,06/02/2020,05,09,13,14,17,33,2,0,0,
3220,04/02/2020,09,21,25,27,32,34,4,1,0,
3219,01/02/2020,08,12,26,28,32,33,3,1,0,
3218,28/01/2020,12,14,16,17,31,36,5,0,0,
3217,25/01/2020,03,04,17,22,27,34,7,0,0,
3216,21/01/2020,01,04,06,30,35,36,4,0,0,
3215,18/01/2020,05,09,12,28,30,36,1,0,0,
3214,16/01/2020,08,21,23,24,36,37,2,0,0,
3213,14/01/2020,06,16,23,25,27,30,6,0,0,
3212,11/01/2020,07,14,16,31,32,35,3,0,0,
3211,07/01/2020,02,06,09,27,35,37,7,0,0,
3210,04/01/2020,01,07,12,18,31,33,3,0,0,
3209,31/12/2019,01,05,08,15,17,31,2,0,0,
3208,28/12/2019,02,17,18,29,31,32,2,0,0,
3207,24/12/2019,02,11,16,21,22,31,7,0,0,
3206,21/12/2019,01,06,07,16,26,36,1,1,0,
3205,19/12/2019,04,13,15,22,30,37,2,0,0,
3204,17/12/2019,02,05,12,14,29,33,3,0,0,
3203,14/12/2019,02,03,05,09,24,32,6,0,0,
3202,10/12/2019,06,15,28,31,34,35,2,0,0,
3201,07/12/2019,02,15,20,26,27,30,7,0,0,
3200,05/12/2019,08,09,10,17,30,34,4,0,0,
3199,03/12/2019,09,10,16,20,32,34,3,0,0,
3198,30/11/2019,06,17,20,25,33,36,3,0,0,
3197,26/11/2019,02,05,08,22,24,29,5,0,0,
3196,23/11/2019,06,07,14,19,20,28,1,0,0,
3195,21/11/2019,04,07,09,14,20,22,4,0,0,
3194,19/11/2019,02,10,15,17,18,24,1,0,0,
3193,16/11/2019,03,08,31,32,34,35,5,0,0,
3192,12/11/2019,02,06,14,19,27,29,3,0,0,
3191,09/11/2019,10,16,19,30,34,37,4,0,0,
3190,07/11/2019,01,19,21,26,30,33,3,0,0,
3189,05/11/2019,09,11,14,19,23,33,2,1,0,
3188,02/11/2019,01,11,27,29,33,37,6,0,0,
3187,29/10/2019,03,13,20,26,29,35,1,1,0,
3186,26/10/2019,01,15,19,23,28,32,3,0,0,
3185,22/10/2019,05,14,15,19,20,31,3,0,0,
3184,19/10/2019,04,05,10,16,17,18,3,1,0,
3183,15/10/2019,03,04,06,08,14,35,1,0,0,
3182,12/10/2019,01,05,12,22,34,37,6,0,0,
3181,10/10/2019,08,14,16,26,32,35,2,0,0,
3180,05/10/2019,06,08,12,13,32,35,4,0,0,
3179,02/10/2019,01,22,32,33,35,37,4,0,0,
3178,28/09/2019,03,19,25,30,33,34,6,0,0,
3177,24/09/2019,05,06,07,14,26,37,4,0,1,
3176,21/09/2019,02,11,22,32,35,37,3,0,0,
3175,17/09/2019,02,08,16,19,29,33,7,0,0,
3174,14/09/2019,07,16,17,27,32,37,6,0,0,
3173,10/09/2019,03,12,13,17,18,36,5,0,0,
3172,07/09/2019,06,10,29,32,33,34,3,0,0,
3171,05/09/2019,01,07,10,24,28,37,7,0,0,
3170,03/09/2019,01,04,06,17,20,34,1,0,0,
3169,31/08/2019,01,03,18,21,23,36,3,0,0,
3168,27/08/2019,02,06,09,12,16,18,2,1,0,
3167,24/08/2019,04,05,06,09,20,37,6,1,0,
3166,20/08/2019,09,16,21,25,27,36,5,0,0,
3165,17/08/2019,11,13,17,24,34,36,1,0,0,
3164,13/08/2019,01,13,15,27,31,35,4,0,0,
3163,11/08/2019,11,17,25,33,35,36,3,0,0,
3162,08/08/2019,06,10,22,25,30,37,1,0,0,
3161,06/08/2019,01,14,25,29,30,33,3,0,0,
3160,03/08/2019,11,19,20,27,30,37,5,0,0,
3159,30/07/2019,06,10,11,24,32,36,4,0,0,
3158,27/07/2019,04,13,17,28,35,37,3,0,0,
3157,23/07/2019,01,10,28,31,32,35,6,0,0,
3156,20/07/2019,14,17,25,26,29,35,7,0,0,
3155,16/07/2019,03,04,07,18,22,23,2,1,0,
3154,13/07/2019,13,15,16,28,31,32,6,0,0,
3153,09/07/2019,01,10,12,14,27,29,2,0,0,
3152,06/07/2019,04,18,19,23,24,37,5,0,0,
3151,04/07/2019,08,18,26,29,31,36,4,0,0,
3150,02/07/2019,01,28,29,30,32,34,5,0,0,
3149,29/06/2019,10,11,14,24,27,35,3,1,1,
3148,25/06/2019,17,22,26,28,34,36,5,1,0,
3147,22/06/2019,03,10,11,17,24,36,7,0,0,
3146,20/06/2019,04,11,16,25,35,36,6,1,0,
3145,18/06/2019,01,09,13,19,20,34,5,0,0,
3144,15/06/2019,04,07,08,09,16,31,1,0,0,
3143,11/06/2019,04,13,17,19,25,37,1,0,0,
3142,09/06/2019,03,13,14,20,22,23,3,0,0,
3141,06/06/2019,10,12,15,19,27,28,3,0,0,
3140,04/06/2019,01,06,19,22,25,32,5,0,0,
3139,01/06/2019,04,05,19,24,31,37,6,0,0,
3138,28/05/2019,01,04,11,14,17,22,2,0,0,
3137,25/05/2019,03,10,16,25,29,32,1,0,0,
3136,21/05/2019,17,20,22,24,28,32,7,1,0,
3135,18/05/2019,03,27,29,31,32,33,3,0,0,
3134,16/05/2019,01,08,13,21,25,31,5,0,0,
3133,14/05/2019,01,12,16,20,30,36,6,0,0,
3132,11/05/2019,06,18,19,23,24,28,4,0,1,
3131,06/05/2019,07,08,11,14,16,22,5,0,0,
3130,04/05/2019,09,10,11,13,15,21,3,0,1,
3129,30/04/2019,01,12,17,21,25,26,2,0,0,
3128,28/04/2019,08,19,26,30,31,36,2,0,0,
3127,23/04/2019,02,08,15,27,31,35,4,0,0,
3126,20/04/2019,01,08,15,22,31,35,4,0,0,
3125,16/04/2019,12,13,15,17,25,31,2,0,0,
3124,13/04/2019,10,13,14,19,20,25,6,0,0,
3123,09/04/2019,01,03,06,09,14,28,1,0,0,
3122,06/04/2019,03,04,05,18,23,29,4,0,0,
3121,04/04/2019,04,05,19,25,31,32,3,0,0,
3120,02/04/2019,01,11,17,21,33,34,1,1,0,
3119,30/03/2019,04,06,10,18,22,25,6,0,0,
3118,26/03/2019,01,15,20,22,23,31,4,0,0,
3117,23/03/2019,03,05,07,18,23,27,7,0,0,
3116,19/03/2019,03,22,24,25,28,37,6,0,0,
3115,16/03/2019,07,11,12,25,28,31,6,1,0,
3114,12/03/2019,06,20,25,30,33,35,1,0,0,
3113,09/03/2019,12,14,15,18,20,21,5,1,0,
3112,07/03/2019,11,14,19,20,21,26,2,0,0,
3111,05/03/2019,02,21,25,27,28,36,6,0,0,
3110,02/03/2019,20,25,28,34,36,37,6,0,0,
3109,26/02/2019,05,06,12,16,29,34,5,1,0,
3108,23/02/2019,12,15,21,24,30,32,7,0,0,
3107,19/02/2019,03,09,23,24,25,26,2,0,0,
3106,16/02/2019,03,09,11,13,21,25,7,0,0,
3105,12/02/2019,10,11,17,21,23,32,7,0,0,
3104,09/02/2019,03,07,09,21,22,33,7,0,0,
3103,07/02/2019,04,13,18,22,28,34,3,0,0,
3102,05/02/2019,01,06,12,17,22,26,6,0,1,
3101,02/02/2019,11,18,19,25,35,37,5,0,0,
3100,29/01/2019,01,13,20,25,31,33,2,2,0,
3099,26/01/2019,11,12,26,34,36,37,2,0,0,
3098,22/01/2019,03,10,13,17,33,37,2,0,0,
3097,19/01/2019,04,09,17,26,27,37,2,0,0,
3096,15/01/2019,06,07,17,28,33,36,7,0,1,
3095,12/01/2019,08,15,20,24,25,33,4,0,0,
3094,08/01/2019,05,08,14,15,18,25,3,0,0,
3093,05/01/2019,06,09,13,20,26,36,7,0,0,
3092,03/01/2019,08,14,20,23,24,28,4,0,0,
3091,01/01/2019,07,13,15,16,20,31,7,0,0,
3090,29/12/2018,03,07,11,17,19,31,6,1,0,
3089,27/12/2018,12,13,19,21,35,36,6,0,0,
3088,25/12/2018,06,09,10,11,18,29,5,2,1,
3087,22/12/2018,16,17,19,29,34,37,4,0,0,
3086,18/12/2018,03,16,19,22,25,26,2,0,0,
3085,15/12/2018,01,03,04,13,23,28,5,0,0,
3084,13/12/2018,01,10,18,25,31,36,6,0,0,
3083,11/12/2018,15,21,23,27,36,37,3,0,0,
3082,08/12/2018,08,11,13,18,25,31,6,0,0,
3081,04/12/2018,01,03,07,09,15,22,2,0,0,
3080,01/12/2018,07,08,25,31,32,35,7,1,0,
3079,27/11/2018,03,05,08,18,19,29,2,0,0,
3078,24/11/2018,02,12,14,18,22,25,7,1,0,
3077,20/11/2018,03,05,16,18,21,26,2,0,0,
3076,17/11/2018,06,16,23,24,30,33,1,0,0,
3075,13/11/2018,09,20,25,27,34,37,2,0,0,
3074,10/11/2018,16,18,20,22,24,25,4,0,0,
3073,06/11/2018,08,09,13,14,27,29,5,0,0,
3072,03/11/2018,02,07,09,19,24,25,7,0,0,
3071,01/11/2018,04,08,13,20,27,29,6,0,0,
3070,30/10/2018,06,07,11,17,22,29,6,0,0,
3069,27/10/2018,11,17,19,25,27,28,2,1,0,
3068,23/10/2018,04,16,23,29,35,36,4,0,0,
3067,20/10/2018,07,20,21,25,35,37,3,0,0,
3066,16/10/2018,08,13,14,27,30,37,6,0,0,
3065,13/10/2018,01,05,15,17,23,37,5,2,1,
3064,09/10/2018,06,16,21,27,28,29,1,0,0,
3063,06/10/2018,01,03,13,17,21,32,1,0,0,
3062,04/10/2018,07,14,18,27,34,37,7,0,0,
3061,02/10/2018,04,12,21,24,35,37,7,0,0,
3060,29/09/2018,01,08,15,16,20,31,6,0,0,
3059,25/09/2018,06,13,22,25,29,37,5,0,0,
3058,22/09/2018,07,11,18,20,21,22,1,0,0,
3057,17/09/2018,02,12,16,17,28,36,4,0,0,
3056,15/09/2018,04,08,13,18,21,32,7,0,0,
3055,12/09/2018,07,08,11,20,30,37,7,0,0,
3054,08/09/2018,04,06,20,23,28,34,2,0,0,
3053,06/09/2018,01,04,07,08,12,16,1,0,0,
3052,04/09/2018,07,09,12,16,27,33,4,0,0,
3051,01/09/2018,09,18,24,28,30,36,7,0,0,
3050,28/08/2018,01,04,27,34,36,37,7,0,0,
3049,25/08/2018,10,13,18,26,31,33,4,0,0,
3048,21/08/2018,01,05,11,12,22,27,2,0,0,
3047,18/08/2018,01,03,18,20,23,37,4,1,0,
3046,14/08/2018,07,13,16,18,19,28,5,0,0,
